instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
128000516,500002,ABB,ABB INDIA,0,,0,0.05,1,EQ,BSE,BSE
128000772,500003,AEGISLOG,AEGIS LOGISTICS,0,,0,0.05,1,EQ,BSE,BSE
128005892,500023,ASIANHOTNR,ASIAN HOTELS (NORTH),0,,0,0.05,1,EQ,BSE,BSE
128006916,500027,ATUL,ATUL,0,,0,0.05,1,EQ,BSE,BSE
128008452,500033,FORCEMOT,FORCE MOTORS,0,,0,0.05,1,EQ,BSE,BSE
128008708,500034,BAJFINANCE,BAJAJ FINANCE,0,,0,0.05,1,EQ,BSE,BSE
128009732,500038,BALRAMCHIN,BALRAMPUR CHINI MILLS,0,,0,0.05,1,EQ,BSE,BSE
128010500,500041,BANARISUG,BANNARI AMMAN SUGARS,0,,0,0.05,1,EQ,BSE,BSE
128010756,500042,BASF,BASF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128011012,500043,BATAINDIA,BATA INDIA,0,,0,0.05,1,EQ,BSE,BSE
128012292,500048,BEML,BEML,0,,0,0.05,1,EQ,BSE,BSE
128012548,500049,BEL,BHARAT ELECTRONICS,0,,0,0.05,1,EQ,BSE,BSE
128015108,500059,BILVYAPAR,BIL VYAPAR,0,,0,0.01,1,EQ,BSE,BSE
128017156,500067,BLUESTARCO,BLUE STAR,0,,0,0.05,1,EQ,BSE,BSE
128018948,500074,BPL,BPL,0,,0,0.01,1,EQ,BSE,BSE
128019972,500078,OAL,ORIENTAL AROMATICS,0,,0,0.05,1,EQ,BSE,BSE
128021252,500083,CENTEXT,CENTURY EXTRUSIONS,0,,0,0.01,1,EQ,BSE,BSE
128021508,500084,CESC,CESC,0,,0,0.05,1,EQ,BSE,BSE
128022020,500086,EXIDEIND,EXIDE INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128022276,500087,CIPLA,CIPLA,0,,0,0.05,1,EQ,BSE,BSE
128022788,500089,DICIND,DIC INDIA,0,,0,0.05,1,EQ,BSE,BSE
128023556,500092,CRISIL,CRISIL,0,,0,0.05,1,EQ,BSE,BSE
128024580,500096,DABUR,DABUR INDIA,0,,0,0.05,1,EQ,BSE,BSE
128025860,500101,ARVIND,ARVIND,0,,0,0.05,1,EQ,BSE,BSE
128027140,500106,IFCI,IFCI,0,,0,0.01,1,EQ,BSE,BSE
128027652,500108,MTNL,MAHANAGAR TELEPHONE NIGAM,0,,0,0.01,1,EQ,BSE,BSE
128028676,500112,SBIN,STATE BANK OF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128028932,500113,SAIL,STEEL AUTHORITY OF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128029188,500114,TITAN,TITAN COMPANY,0,,0,0.05,1,EQ,BSE,BSE
128029700,500116,IDBI,IDBI BANK,0,,0,0.05,1,EQ,BSE,BSE
128029956,500117,DCW,DCW,0,,0,0.01,1,EQ,BSE,BSE
128030468,500119,DHAMPURSUG,DHAMPUR SUGAR MILLS,0,,0,0.05,1,EQ,BSE,BSE
128030724,500120,DIAMINESQ,DIAMINES & CHEMICALS,0,,0,0.05,1,EQ,BSE,BSE
128032772,500128,ELECTCAST,ELECTROSTEEL CASTINGS,0,,0,0.05,1,EQ,BSE,BSE
128034052,500133,ESABINDIA,ESAB INDIA,0,,0,0.05,1,EQ,BSE,BSE
128034564,500135,EPL,EPL,0,,0,0.05,1,EQ,BSE,BSE
128034820,500136,ESTER,ESTER INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128036868,500144,FINCABLES,FINOLEX CABLES,0,,0,0.05,1,EQ,BSE,BSE
128037892,500148,UFLEX,UFLEX,0,,0,0.05,1,EQ,BSE,BSE
128038404,500150,FOSECOIND,FOSECO INDIA,0,,0,0.05,1,EQ,BSE,BSE
128038660,500151,GOLDENTOBC,GOLDEN TOBACCO,0,,0,0.01,1,EQ,BSE,BSE
128039172,500153,GANESHBE,GANESH BENZOPLAST,0,,0,0.01,1,EQ,BSE,BSE
128040964,500160,GTL,GTL,0,,0,0.01,1,EQ,BSE,BSE
128041988,500164,GODREJIND,GODREJ INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128042244,500165,KANSAINER,KANSAI NEROLAC PAINTS,0,,0,0.05,1,EQ,BSE,BSE
128043780,500171,GHCL,GHCL,0,,0,0.05,1,EQ,BSE,BSE
128044292,500173,GFLLIMITED,GFL,0,,0,0.01,1,EQ,BSE,BSE
128046084,500180,HDFCBANK,HDFC BANK,0,,0,0.05,1,EQ,BSE,BSE
128046596,500182,HEROMOTOCO,HERO MOTOCORP,0,,0,0.05,1,EQ,BSE,BSE
128046852,500183,HFCL,HFCL,0,,0,0.01,1,EQ,BSE,BSE
128047876,500187,AGI,AGI GREENPAC,0,,0,0.05,1,EQ,BSE,BSE
128048132,500188,HINDZINC,HINDUSTAN ZINC,0,,0,0.05,1,EQ,BSE,BSE
128049412,500193,HLVLTD,HLV,0,,0,0.01,1,EQ,BSE,BSE
128050948,500199,IGPL,I G PETROCHEMICALS,0,,0,0.05,1,EQ,BSE,BSE
128051460,500201,INDIAGLYCO,INDIA GLYCOLS,0,,0,0.05,1,EQ,BSE,BSE
128053508,500209,INFY,INFOSYS,0,,0,0.05,1,EQ,BSE,BSE
128054788,500214,IONEXCHANG,ION EXCHANGE (INDIA),0,,0,0.05,1,EQ,BSE,BSE
128055044,500215,SUNDROP,SUNDROP BRANDS,0,,0,0.05,1,EQ,BSE,BSE
128056068,500219,JISLJALEQS,JAIN IRRIGATION SYSTEMS,0,,0,0.01,1,EQ,BSE,BSE
128058116,500227,JINDALPOLY,JINDAL POLY FILMS,0,,0,0.05,1,EQ,BSE,BSE
128058372,500228,JSWSTEEL,JSW STEEL,0,,0,0.05,1,EQ,BSE,BSE
128059652,500233,KAJARIACER,KAJARIA CERAMICS,0,,0,0.05,1,EQ,BSE,BSE
128060164,500235,KSL,KALYANI STEELS,0,,0,0.05,1,EQ,BSE,BSE
128060932,500238,WHIRLPOOL,WHIRLPOOL OF INDIA,0,,0,0.05,1,EQ,BSE,BSE
128061700,500241,KIRLOSBROS,KIRLOSKAR BROTHERS,0,,0,0.05,1,EQ,BSE,BSE
128062212,500243,KIRLOSIND,KIRLOSKAR INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128063236,500247,KOTAKBANK,KOTAK MAHINDRA BANK,0,,0,0.05,1,EQ,BSE,BSE
128063748,500249,KSB,KSB,0,,0,0.05,1,EQ,BSE,BSE
128064260,500251,TRENT,TRENT,0,,0,0.05,1,EQ,BSE,BSE
128064772,500253,LICHSGFIN,LIC HOUSING FINANCE,0,,0,0.05,1,EQ,BSE,BSE
128065796,500257,LUPIN,LUPIN,0,,0,0.05,1,EQ,BSE,BSE
128066308,500259,LYKALABS,LYKA LABS,0,,0,0.05,1,EQ,BSE,BSE
128066564,500260,RAMCOCEM,THE RAMCO CEMENTS,0,,0,0.05,1,EQ,BSE,BSE
128067844,500265,MAHSEAMLES,MAHARASHTRA SEAMLESS,0,,0,0.05,1,EQ,BSE,BSE
128068100,500266,MAHSCOOTER,MAHARASHTRA SCOOTERS,0,,0,0.05,1,EQ,BSE,BSE
128071428,500279,MIRCELECTR,MIRC ELECTRONICS,0,,0,0.01,1,EQ,BSE,BSE
128071684,500280,CENTENKA,CENTURY ENKA,0,,0,0.05,1,EQ,BSE,BSE
128072708,500284,LORDSCHLO,LORDS CHLORO ALKALI,0,,0,0.05,1,EQ,BSE,BSE
128074244,500290,MRF,MRF,0,,0,0.05,1,EQ,BSE,BSE
128075268,500294,NCC,NCC,0,,0,0.05,1,EQ,BSE,BSE
128075524,500295,VEDL,VEDANTA,0,,0,0.05,1,EQ,BSE,BSE
128075780,500296,NAHARSPING,NAHAR SPINNING MILLS,0,,0,0.05,1,EQ,BSE,BSE
128076804,500300,GRASIM,GRASIM INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128077316,500302,PEL,PIRAMAL ENTERPRISES,0,,0,0.05,1,EQ,BSE,BSE
128077828,500304,NIITLTD,NIIT,0,,0,0.05,1,EQ,BSE,BSE
128080132,500313,OILCOUNTUB,OIL COUNTRY TUBULAR,0,,0,0.01,1,EQ,BSE,BSE
128081156,500317,OSWALAGRO,OSWAL AGRO MILLS,0,,0,0.01,1,EQ,BSE,BSE
128083204,500325,RELIANCE,RELIANCE INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128084484,500330,RAYMOND,RAYMOND,0,,0,0.05,1,EQ,BSE,BSE
128084740,500331,PIDILITIND,PIDILITE INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128085252,500333,PIXTRANS,PIX TRANSMISSIONS,0,,0,0.05,1,EQ,BSE,BSE
128085764,500335,BIRLACORPN,BIRLA CORPORATION,0,,0,0.05,1,EQ,BSE,BSE
128086020,500336,SURYAROSNI,SURYA ROSHNI,0,,0,0.05,1,EQ,BSE,BSE
128086276,500337,PRIMESECU,PRIME SECURITIES,0,,0,0.05,1,EQ,BSE,BSE
128086532,500338,PRSMJOHNSN,PRISM JOHNSON,0,,0,0.05,1,EQ,BSE,BSE
128086788,500339,RAIN,RAIN INDUSTRIES,0,,0,0.05,1,EQ,BSE,BSE
128087812,500343,AMJLAND,AMJ LAND HOLDINGS,0,,0,0.01,1,EQ,BSE,BSE
128089604,500350,RSWM,RSWM,0,,0,0.05,1,EQ,BSE,BSE
